ui_music_volume|Громкость музыки:
ui_download_mb_old_version_question|Сервер использует старую версию Mount&Blade (%d.%d%d%d), нежели ваша текущая (%d.%d%d%d).
ui_download_module_new_version_question|Сервер использует более новую версию модуля (%d.%d%d%d), нежели ваша текущая (%d.%d%d%d). Хотите посетить сайт для загрузки новой версии?
ui_download_module_old_version_question|Сервер использует старую версию модуля (%d.%d%d%d), нежели ваша текущая (%d.%d%d%d).
ui_authenticating_with_steam|Идет авторизация через Steam...
ui_validating_serial_number|Проверка серийного номера...
ui_scanning_lan|Сканирование локальной сети...
ui_retrieving_servers|Получение списка серверов...
ui_shield_size2|Размер: %dx%d
ui_click_to_view_notes|Кликните для просмотра заметок
ui_retrieving_server_infos|Получение информации от серверов (%d)...
ui_connecting_to_server|Подключение к серверу...
ui_requesting_to_join_the_game|Запрос на присоединение к игре...
ui_loading|Загрузка...
ui_group_value_control|Группа %d
ui_drop_weapon|Бросить оружие
ui_multiplayer_message_all|Сообщение всем
ui_multiplayer_message_team|Сообщение команде
ui_command_line|Командная строка
ui_use_ranged_weapon_as_melee|Режим оружия
ui_send_message_all|Отправить сообщение всем
ui_send_message_team|Отправить сообщение команде
ui_select|Выбрать
ui_context_menu|Контекстное меню
ui_round_starts_in_value_seconds|Раунд начинается через %d секунд...
ui_watching_value|Слежение за %s
ui_capital_spec|ЗРИТ
ui_capital_dead|ТРУП
ui_instancing_error1|Невозможно заблокировать буфер инстансинга (size: %d). Меш-инстансинг отключен (код ошибки: %d)
ui_instancing_error2|Не удалось вписать инстанциированые объекты. Меш-инстансинг отключен.
ui_by_keyboard|Клавишами передвижения
ui_combat_speed_slowest|Очень медленный
ui_combat_speed_slower|Медленный
ui_combat_speed_normal|Нормальный
ui_combat_speed_faster|Быстрый
ui_combat_speed_fastest|Очень быстрый
ui_module_newer_than_application|Выбранный модуль требует более новой версии игры.
ui_module_older_than_application|Выбранный модуль требует более старой версии игры.
ui_unbalanced|Несбалансированное
ui_can_crush_through_blocks|Пробивает блок
ui_turn_camera_with_horse|Поворот камеры вместе с лошадью от первого лица:
ui_widescreen_mode_on|Многоэкранный режим включён
ui_widescreen_mode_off|Многоэкранный режим отключен
ui_notification_cant_upgrade|(Повышение невозможно: недостаточно денег)
ui_turn_never|Никогда
ui_turn_ranged_only|Только в дальнем бою
ui_turn_melee_only|Только в ближнем бою
ui_turn_always|Всегда
ui_general_options|Общие настройки
ui_vac_enabled|Античит Valve
ui_campaign_ai|ИИ кампании:
ui_downloading_map|Загрузка карты (%d КБ)
ui_download_completed|Загрузка завершена
ui_server_filter|Фильтр сервера
ui_has_players|Есть игроки
ui_is_not_full|Неполный
ui_is_password_free|Без пароля
ui_native_only|Только Native
ui_ping_limit|Предел пинга
ui_filter_info|Отфильтровано: %d игр и %d игроков
ui_is_version_compatible|Совместимость с модулем
ui_ttnet_account|TTNET Oyun аккаунт
ui_username|Username
ui_password|Password
ui_error_incorrect_username_or_password|Неверное имя пользователя или пароль
ui_validating_account|Проверка учетной записи...
ui_plase_enter_your_serial_key|Пожалуйста, введите свой серийный номер
ui_texture_detail2|Качество текстур:
ui_antialiasing2|Сглаживание:
ui_napoleonic_key_does_not_exist|Данная модификация требует дополнение Napoleonic Wars для запуска!
ui_delete_module_workshop|Вы уверены, что хотите отписаться от этого модуля?
ui_delete_module|Вы уверены, что хотите удалить этот модуль?
ui_delete_native_module|Вы не можете удалить стандартный модуль.
ui_incompatible_module|Сервер несовместим с текущим модулем. Можете воспользоваться лаунчером, чтобы сменить модуль.
