
qstr_{reg1}.0|{reg1}.0
qstr_I_still_dream_of_Dou|Я до сих пор мечтаю о Дуарнене, когда закрываю глаза. Ни один человек Божий не должен допускать этого - словно дьявол сбежал из заточения и захватил мир.
qstr_I_remember_sailing_i|Я помню отплытие на битву и рвоту по нескольку раз. Мои руки тряслись и болезненная дрожь пробежалась по спине. Я не был воином, но моя судьба была тесно связана с {playername} и {reg59?ее:его} людьми. Если бы нас победили, то я покоился бы с миром. К счастью, каким то чудом Божьим, я выжил. Но слишком многие не смогли, включая Бодо, с которым, как я слышал, {playername} проводил много времени, с тех пор, как они впервые встретились на корабле под названием 'Вотан Рик'. Я понял, что Бодо станет большой потерей для {playername} после всего, что случилось, но {reg59?ее:его} лицо было невозмутимым и никто не осмеливался спросить, как {reg59?она:он} себя чувствует.^^После двух сражений при Дуарнене мы провели несколько недель в развалинах деревни, залечивая раны, хороня мертвых и восстанавливая все былое. Я, действительно, думаю, что это было время, когда моя работа была наиболее необходима. Многие приходили ко мне за утешением и благодарили за все мои слова об умерших.^^Затем мы уплыли обратно в Англию, тогда мы не еще знали, что мир изменился...
qstr_Maybe_part_of_him_is|Может быть, частичка его останется в ребенке, что у него был от Торы, дочери Ульфа из Дании. Мальчик, названный в честь своего отца, растет крепким и здоровым, и обещает быть сильным человеком, когда-нибудь.
qstr_My_name_is_Beda_and_|Меня зовут Старый Бейда, и эта книга началась, как хроника темного времени, но это время не было столь ужасным, так как проходило в тени Героя.
qstr_I_was_there_when_the|Я был там, когда армии саксов и датчан сражались за Эшдаун. Я был там, когда {playername} изменил ход истории. Но даже это, и то, что произошло дальше, меркнет на фоне того, когда мир потерял своего героя. Я помню все, как будто это только что произошло, когда мы вошли в зал и увидели, как Свен 'Бычья Шея' добил мать {playername}. Я помню {reg59?ее:его} лицо. Он стал холоден как лед. Ни гнева, ни страха, ни слез, только равнодушие. Уверяю вас, что Свен 'Бычья Шея' побледнел, потому что знал, что его смерть была неизбежной. Мы бились в зале и Свен умер, но на лице {playername} ничего не изменилось, ни тогда, ни позже на похоронах матери, почитаемой как Королеву, и погребенной с почестями на военном корабле.^^После этого дня мы потеряли нашего героя. {reg59?Она попрощалась:Он попрощался} с нами, теми, кто следовал за {reg59?ней:ним} от битвы к битве, и {reg59?сказала:сказал}, что уезжает, не раскрывая пункта назначения.^^{playername} {reg59?оставила:оставил} нас, и боюсь, что никогда не вернется. Надеюсь, что я ошибаюсь, потому что этот темный мир по-прежнему нуждается в {reg59?ее:его} подвигах.
qstr_BEDA_CHRONICLE^^{s2}^^|ХРОНИКИ БЕЙДЫ^^{s2}^^{s3}^^{s16}
qstr_Little_news_has_reac|^^До меня дошла новость о молодом Кайо. Я точно уверен, что он никогда не вернется в Вал Адриана, даже чтобы навестить семью. Последнее, что я слышал о нем, то, что он присоединился к датской экспедиции в Константинополь.
qstr_^^Egil_returned_to_R|^^Эгиль вернулся в Рибе, домой, разбогатев за счет трофеев, полученных во время приключений. Он потратил все свои деньги на женщин и эль, и, в конечном итоге, был убит на поединке смерти вскоре после этого.
qstr_^^Brunhild_married_a|^^Брунхильда вышла замуж за датчанина, несмотря на то, что всегда их ненавидела, и поселилась рядом с Йорвиком. Купец рассказал мне, что сейчас она счастливая мать троих детей.
qstr_^^The_fate_of_Donnac|^^Судьба Доннхада оказалась мрачной. Он вернулся в Королевство Альба, где набрал группу шотландцев грабить норвежских торговцев в море Ирландии. Норвежцы из Дублина установили награду за его голову, погнавшись и убив его в эпической битве, о чем барды все еще поют при дворе Альбы.
qstr_^^Morgant_returned_t|^^Моргант вернулся в Корнубию и стремился объединить кланы, в попытке вернуть территории старого королевства Данмония, но все безуспешно. Многие просто отказались от своей родины ради другой стороны канала, которому, как не удивительно, не удалось достаточно снизить сильную конкуренцию. В итоге он сдался и отправился в монастырь Петрокстов, где, я знаю, был пострижен.
qstr_^^Dwywei_was_one_of_|^^Двивей была одна из немногих, кто не сдался после ухода {playername}, и я знаю, что она уехала за ним в погоню. Она любила его, несмотря на все, что произошло, и была готова путешествовать по миру, чтобы найти его. Я не знаю увенчались ли поиски успехом, если она вообще еще жива.
qstr_^^Dwywei_despite_all|^^Двивей, несмотря на все, что было, никогда не уходила в отставку, до отъезда {playername}. Я слышал, она уехала за ним в погоню.
qstr_^^Reginhard_returned|^^Регинхард вернулся в Дорестад, где женился на Адде, хозяйке лавочки, и у них родился сын, названный Тиадердом. Их брак был счастливым, но не долгим. Последние новости говорят, что он снова стал изменять, вернувшись к своим порокам.
qstr_^^About_Clovis_he_re|^^По поводу Кловиса, то он вернулся во Франкию, где приобрел землю и нашел жену. Но, похоже, он хочет забыть о прошлом и не принимает моих гонцов.
qstr_^^The_beautiful_and_|^^Красивая и неукротимая Сольвейг решила продолжить мстить семье Свена 'Бычьей Шеи'. Она вернулась в Данию, где выследила и убила всех братьев Свена, вместе с их семьями. Тинг приговорил ее к смерти, так что теперь она прячется где-то среди других бандитов и изгнанников.
qstr_^^The_loeknir_the_ph|^^Лекарь, целитель, Асбьерн вернулся в Одинсве, в дом своих родителей, устав от войны. Теперь он использует свои знания, чтобы помогать лечить людей, всего за несколько шиллингов - даже бесплатно тех, кто просит. Слава его бежит по всему северу и люди поклоняются ему как святому.
qstr_^^Helgi_was_very_fon|^^Хельги очень любил {playername}, несмотря на все былое, и когда та ушла, он погрузился в страшную депрессию. Последнее, что я знаю, то что он вернулся на восток и стал русом, надеясь большей кровью успокоить свое горе.
qstr_^^Helgi_became_depre|^^Хельги впал в депрессию после ухода {playername}. Без особой цели он двинулся на восток и стал русом, ища свою судьбу в бесконечных войнах.
qstr_^^The_Greek_Agathino|^^Грек, Агатинос, остался на севере, возле Лунденвика. Там он взялся за восстановления старой римской инфраструктуры. Иногда я получаю письма от него. Я не знаю, почему мы никогда не дружили, но ему нравится поддерживать отношения, которые завязались прошлом, и я, должно быть, единственный из того времени, кто у него остался.
qstr_^^And_that_is_all_wh|^^И это все, что я знаю о людях, что служили под началом {reg59?великой героини:великого героя} своего времени, по имени {playername}!
qstr_After_the_departure_|После ухода нашего лидера, мы - {reg59?ее:его} последователи, разошлись по четырем сторонам света. Я укрылся в монастыре, что в отдаленной части Уэссекса, вдалеке от всего. Здесь я буду ждать конца моих дней. Я плачу людям, чтобы приносили мне новости из вне, особенно, если встретят {playername}, но никто не видел {reg59?ее:его}. Однако, я получил немного новостей от тех, кто был с {reg59?ней:ним} до конца.
qstr_{s11}{s12}{s13}{s14}|{s11}{s12}{s13}{s14}{s15}{s16}{s17}{s18}{s19}{s20}{s21}{s22}{s23}.
qstr_{s2}{s3}^^I_hope_my_|{s2}{s3}^^Я надеюсь, что мои сочинения увековечат имя {reg59?нашей героини:нашего героя} в истории. {reg59?Она тот:Он тот} человек, кто начал с нуля, на корабле 'Вотан Рик' и поднялся на неимоверные высоты, став {reg59?величайшей девой-воительницей, сумевшей:величайшим военачальником, сумевшим} победить Свена 'Бычью Шею', при упоминании которого дрожал весь север. {reg59?Она стояла:Он стоял} лицом к лицу с сильнейшими мира сего, с Сынами Рагнара и Королями Уэссекса и Дании.^^Так пусть мир запомнит этого великого человека, по имени {playername}! Когда другие канут во времени...
qstr_They_say_that_Eriu_i|Говорят, что Ирландия - это дикая местность, населяемая людьми, слишком ненадежными для перемирия или торговли, и слишком неистовыми, чтобы это стоило их завоевания. Я слышал много историй об Ирландии, но ни одна не стоит пересказа. И я уверен в том, что время, которое {reg59?провела:провел} там {playername}, оставило {reg59?ей:ему} шрамы на всю жизнь.
qstr_Honestly_Mael_Bresai|Честно говоря, смерть Маэла Бресала ничего не значила для {playername}. {reg59?Она:Он} продолжает жить, будто Маэл Бресал и вовсе не существовал. Возможно, у {reg59?нее:него} теперь больше врагов среди Лордов Ирландии и немного больше шиллингов в кармане, но ничего более.^^Но Морриган - это совсем другое. В ней было что-то волшебное. Это было не просто ее пение, которое само по себе было способно замораживать время. Это было нечто более глубокое. Когда она ушла, вся армия ощутила пустоту. С тех пор никто никогда ее не видел, хотя я знаю, что {reg59?моя госпожа:мой господин} всегда надеется услышать о ней.^^Много разного говорят об Ирландии, но никто не рассказывает легенду о Морриган.
qstr_The_agreement_with_M|Соглашение с Маэлом Бресалом сделало {playername} богатым человеком, но {reg59?ее:его} судьба была превыше богатств, а деньги были лишь способом достижения цели. После подписания соглашения до нас дошли небольшие новости о Маэле Бресале. Он всегда пытался держаться в стороне от {reg59?моей госпожи:моего Лорда}, даже когда дела {reg59?моей госпожи:моего Лорда} и его Короля пересеклись. Я не знаю, Маэл Бресал просто почитал свою присягу Королю или же испытывал явный страх перед {playername}.^^Много разного говорят об Ирландии, но немного людей помнят легенду о том, как были убиты дети Флахартаха.
qstr_Honestly_Mael_Bresail|Честно говоря, смерть Маэла Бресала ничего не значила для {playername}. {reg59?Она:Он} продолжил жить, будто Маэл Бресал и вовсе не существовал. Возможно у {reg59?нее:него} теперь больше врагов среди Лордов Ирландии и немного больше шиллингов в кармане, но ничего более.^^Но Морриган это совсем другое. В ней было что-то волшебное. Это было не просто ее пение, которое само по себе было способно замораживать время. Это было нечто более глубокое. Когда {playername} {reg59?убила:убил} ее, я думаю, что {reg59?она почувствовала:он почувствовал}, что {reg59?разрушила:разрушил} что-то, что не принадлежит этому времени или миру.^^Много разного говорят об Ирландии, но немного людей помнят легенду о том, как были убиты дети Флахартаха.
qstr_The_{s1}_and_the_{s2}|{s1} и {s2} заключили союз.
qstr_The_{s15}_complies_wi|{s15} выполняет союзное соглашение и нападает на {s16}.
qstr_The_{s15}_complies_wi|{s15} выполняет союзное соглашение и нападает на {s16}.
qstr_Player_bonus_for_dec|Бонус за обезглавливание: {reg1}
qstr_INFO:___Changing_mov|ИНФО: Изменение скорости движения на {reg1}%
qstr_Ruthless|Жестокий
qstr_Vile|Подлый
qstr_Notorious|Пресловутый
qstr_Unkind|Злой
qstr_Unknown|Бесславный
qstr_Kind|Добрый
qstr_Admirable|Очаровательный
qstr_Heroic|Героический
qstr_Inventory|Инвентарь
qstr_Show_stats|Статистика
qstr_Show_item_details__|Показать описание предметов 
qstr_Troop_detail|Подробно
qstr_{s1}^|{s1}^
qstr_{s1}Level:_{reg1}^|{s1}Уровень: {reg1}^
qstr_{s1}Hit_Points:_{reg|{s1}Здоровье: {reg1}
qstr_{s1}Atributes:_^___S|{s1}Атрибуты: ^   Сила:^
qstr_{s2}^{reg1}^|{s2}^{reg1}^
qstr_{s1}___Agility:|{s1}   Ловкость:
qstr_{s2}{reg1}|{s2}{reg1}
qstr_{s1}Main_skills:_^|{s1}Главные навыки: ^
qstr_{s1}___Power_Strike:|{s1}   Мощ. удар:^
qstr_{s2}{reg1}^|{s2}{reg1}^
qstr_{s1}___Athletics:^|{s1}   Атлетика:^
qstr_{s1}___Riding:^|{s1}   Верх. езда:^
qstr_{s2}_^|{s2}-^
qstr_{s1}___Power_Throw:^|{s1}   Мощ. бросок:^
qstr_{s1}___Power_Draw:^^|{s1}   Мощ. выстрел:^^
qstr_{s2}{reg1}^^|{s2}{reg1}^^
qstr_{s2}_^^|{s2}-^^
qstr_{s1}Weapons:^|{s1}Оружие:^
qstr_{s1}___One_Handed:^|{s1}   Одноручное:^
qstr_{s1}___Two_Handed:^|{s1}   Двуручное:^
qstr_{s1}___Polearms:^|{s1}   Древковое:^
qstr_{s1}___Archery:^|{s1}   Лук:^
qstr_{s1}___Crossbow:^|{s1}   Арбалет:^
qstr_{s1}___Throwing:^|{s1}   Метание:^
qstr_{s1}___Slings:|{s1}   Праща:
qstr_{s2}_|{s2}-
qstr__Click_on_the_troop_|(Нажмите на война, чтобы повернуть его)^^Нажмите на предмет ^(шлем, нагрудник, перчатки, сапоги)^ для демонстрации.
qstr_Landing_near_{s2}|Встать на якорь возле {s2}
qstr_Sandbox_mode_gives_y|Песочница дает вам полную свободу выбора своих игровых событий. Вы можете стать мирным торговцем; внушающим страх Викингом; Королем, любимым своим народом или любым другим персонажем.
qstr_Starting_is_always_d|Начинать всегда сложно, поэтому рекомендуется исследовать окрестности, прежде чем отправиться в свой первый бой. Посетите близлежащие поселения, возьмите задания у местных управителей или Лордов, или же работайте на каменоломнях, солеварнях, фермах или в лагерях лесорубов. Наберите своих первых новобранцев на фермах или в монастырях, или попробуйте подкупить деревенского старосту. Вы также можете купить товар на фермах или в деревнях и попробовать продать его на городском рынке для получения прибыли.^^Лучше всего играть сначала медленно, чтобы изучить возможности и принципы игры. Если у вас есть вопросы, вы всегда можете прочитать 'Примечания'.^^Завоевания Викингов - это огромный мир. Он перенесет вас в Темные Века, как никогда раньше.
qstr_^Welcome_to_Viking_C|^Добро Пожаловать в Завоевания Викингов: Переиздание^^{s2}^^{s3}
qstr_In_this_mode_you_sta|В этом режиме вы начинаете игру либо в качестве знатного дворянина, либо правителя королевства. Как дворянин, вы сможете взять под свой контроль поместья и командовать войском. Как Король - определить политику королевства, объявлять войны, командовать армией и развивать свое королевство.
qstr_Your_first_priority_|Вашим первым приоритетом должно быть развитие своих владений, увеличение доходов и заполнение казны шиллингами. Стабилизируйте свое королевство перед началом новых завоеваний.^^Править народом не так легко. Война пожирает много ресурсов, и этот мир полон опасностей. Ваши действия будут определять будущее вашего королевства...
qstr_^^Welcome_to_Viking_|^^Добро Пожаловать в Завоевания Викингов: Переиздание^^^^{s2}^^{s3}
qstr_In_the_storyline_you|В сюжетной линии вы начинаете игру в качестве героя с неопределенной судьбой.^Пожалуйста, внимательно прочтите следующее, потому что здесь геймплей немного отличается от песочницы.
qstr_The_story_follows_it|История следует своим собственным путем развития и решения, которые вы примете, могут повлиять на мир вокруг вас, помимо стандартной игровой механики. Это означает, что вы не сможете свободно присоединиться к любому королевству или служить любому Королю, за исключением случаев, когда это разрешено.^Поведение королевств, особенно важных для сюжета и истории, будет следовать хронологии исторических событий, насколько это возможно. В результате, эти королевства не могут быть уничтожены, если они не были побеждены исторически.^Кроме того, вы не сможете избавиться от ваших спутников, предоставить им владения, или сделать их вассалами, пока играете в сюжетную линию. Так как большинство ваших спутников важны для многих заданий, так же важно, чтобы они оставались частью вашей группы.^^Потребовалось много месяцев, чтобы выстроить сюжетную линию Завоевания Викингов, используя исторические источники, сказания, и глубокую любовь к миру Викингов. Мы надеемся, что вы насладитесь тем, что мы сделали.
qstr_The_supply_box_will_|Пополнение боезапасов будет доступно {reg1?после {reg0} раундов:в следующем раунде}.
qstr_Head_armor_cannot_be|{s0} не может использовать шлем вместе с капюшоном.
qstr_You_suffer_a_serious|Вы страдаете от серьезной раны на лице. (-1 Харизмы)
qstr_You_suffer_a_serious_|Вы страдаете от серьезной раны одной из конечностей. (-1 Ловкости)
qstr_You_suffer_a_serious_i|Вы страдаете от серьезной раны на теле. (-1 Силы)
qstr_Your_weapon_was_dama|Ваше оружие повреждено!
qstr_Your_weapon_broke!|Ваше оружие сломано!
qstr_You_have_received_{reg|Вы получили сильный удар в голову и теряете зрение на несколько секунд, урон {reg5}!
qstr_You_have_received_{reg5|Вы получили сильный удар по телу, урон {reg5}!
qstr_You_have_caused_{reg|Вы нанесли {reg5} бонусного урона!
qstr_You_have_caused_{reg5|Вы нанесли {reg5} бонусного урона врагу в спину!
qstr_You_have_received_{reg5}|Вы получили {reg5} бонусного урона в спину!
qstr_You_have_fallen.__Pr|Вы проиграли. Нажмите 'TAB' для выхода!
qstr_Camera_follow_terrai|Режим прослеживания местности ВКЛ.
qstr_Camera_follow_terrain|Режим прослеживания местности ВЫКЛ.
qstr_Camera_rotate_before|Режим панорамного вращения ВКЛ.
qstr_Camera_rotate_before_|Режим панорамного вращения ВЫКЛ.
qstr_{s0}^^A_Battle_Comma|{s0}^^Меню Боевых Команд доступно по нажатию клавиши '{s1}'
qstr_Strategy_Camera|Стратегическая камера
qstr_Tactical_Controls|Тактическое управление
qstr_Death_Camera|Режим просмотра боя
qstr_You_can_give_the_com|Вы можете дать команду грести вперед, грести быстрей, грести назад и остановиться. Клавиши со стрелками Вверх и Вниз переключают между этими командами.^Вы так же можете дать команду плыть прямо, правее, сильно правее, левее или сильно левее. Клавиши со стрелками ( ← ) и ( → ) переключают между этими командами.^Текущие команды представлены стрелками, вокруг изображения вашего корабля в правом верхнем углу.^Нажмите 'Enter', чтобы распустить парус и 'Backspace', для широкого обзора.
qstr_Ship_Control|Управление кораблем
qstr_Dog|Пёс
qstr_You_have_obtained_th|Вы получили ключ от темницы.
qstr_You_killed_the_ghost|Вы убили призрака
qstr_You_are_so_tired_you|Вы так устали, что едва можете пошевелиться. Теперь вы наносите только половину урона и не можете бежать.
qstr_You_take_1_damage_fr|Вы получаете 1 единицу урона от потери крови.
qstr_Your_{s1}_was_damage|Ваш {s1} поврежден!
qstr_Speed_100%|Скорость 100%
qstr_Speed_400%|Скорость 400%
qstr_Speed_0_for_AI_agent|Скорость 0 для ИИ
qstr_{s33}_changes_weapon|{s33} меняет оружие
qstr_We_lost_a_quarter_of|Мы потеряли четверть наших войск за очень короткое время. Сердца наших воинов наполнены страхом.
qstr_Half_of_our_army_has|Половина нашей армии пала в течении очень короткого времени. Воины в панике!
qstr_The_enemy_lost_a_qua|Враг потерял четверть своих войск за очень короткое время. Сердца воинов противника наполнены страхом.
qstr_Half_of_the_enemy_ar|Половина армии врага пала в течении очень короткого времени. Воины в панике!
qstr_You_fall_and_your_tr|Вы пали, ваши войска в панике!
qstr_Our_side_lost_a_lead|Наши войска потеряли лидера, они в панике!
qstr_The_enemy_lost_a_lea|Враг потерял лидера, его войска в панике!
qstr_You_call_your_horse.|Вы подзываете лошадь...
qstr__{reg3}| {reg3}
qstr_Scout_report:_We_ve_|Отчет разведчика: 'Мы наткнулись на древний памятник - Камнеряд, но реальным препятствием являются враги, находящиеся за ручьем'.^^Ваш ответ: 'Камнеряд говорите? Пусть он станет могилой для врага!'.
qstr_Scout_report:_A_bog_|Отчет разведчика: 'Впереди болотистая местность и топи, мы должны быть осторожны. Не сходите с пути!'.^^Воин указывает рукой: 'Что это в деревьях впереди? Здесь повсюду таится зло'.
qstr_While_exploring_an_a|Изучая заброшенный римский форт, разведчик сообщает вам: 'Командир, мы не можем здесь долго оставаться. За холмом замечен враг. Каковы ваши указания?'.
qstr_Stretched_out_before|Перед вами открывается вид на полуразрушенную, некогда великую стену. Противник занял позицию с другой ее стороны.^^Военный советник рядом с вами говорит: 'Будем надеяться, что она защитит нас лучше, чем римлян'.
qstr_The_scout_returns_an|Разведчик возвращается и сообщает вам: 'За деревней замечен враг. Местные жители спрятались в одном из домов. Они слишком многого натерпелись'.
qstr_Division_Placement|Размещение групп
qstr_Complex_Formations|Сложные построения
qstr_Formations_turned_OF|Построения отключены в меню настроек
qstr_Division_{reg1}_{s2}_g|Группа {reg1} {s2} отправляется на указанную позицию...
qstr_Division_{reg1}_{s2}_f|Группа {reg1} {s2} формирует линию (запоминая позицию).
qstr_Division_{reg1}_{s2}_fo|Группа {reg1} {s2} формирует {reg0} линии (запоминая позицию).
qstr_ENEMY_LORD_FOUND!|ОБНАРУЖЕН ВРАЖЕСКИЙ ЛОРД!
qstr_{s1}_is_shouting_out|{s1} издает боевой клич!
qstr_{s1}_is_starting_a_s|{s1} начинает бить в свой щит!
qstr_ENEMY_LORD_TRAIT_ACT|ОСОБЕННОСТЬ ВРАЖЕСКОГО ЛОРДА АКТИВИРОВАНА!
qstr_All_around_you_unfol|Повсюду вокруг вас развернулся мир Божий, Ора эт Лабора, где у людей свои привычки и обычаи. Они заняты своей работой, останавливаясь лишь чтобы поесть, поспать и помолиться.
qstr_This_is_the_home_of_|Это святыня Скандинавских Богов. Вы можете читать старые стихи, сочинять песни или приносить жертвы в угоду богам. Если повезет, боги могут услышать вас и исполнить ваше желание.
qstr_Spawned_{s13}|{s13 вернулся
qstr_You_must_stay_behind|Вы должны стоять за линией! Очки не засчитываются.
qstr_Tutorial|Руководство
qstr_{s0}^^{s1}|{s0}^^{s1}
qstr_Everybody_back_on_th|Все на корабль! Быстрее!
qstr_Sea_Info_Tutorial|Морское руководство
qstr_A_huskarl_shouts__Me|Хурскал кричит: 'Люди! Слушайте! Держите строй, и мы победим! Тот, кто выстоит - настоящий Викинг. Мы Датчане, Мы Воины!'.
qstr_A_huskarl_shouts__Th|Хускарл кричит: 'Тор! Услышь наш боевой клич и подготовь Валькирий! Сегодня мы отобедаем в залах Вальхаллы!'.
qstr_From_the_boat_you_se|С корабля вы видите, как на холме сражаются люди. Вы разглядели среди них Бодо, окруженного врагами. Он из последних сил борется за свою жизнь...
qstr_Harald_calls_out__Co|Харальд кричит: 'Быстрей! Поторопитесь! Мы не можем торчать здесь весь день. Посмотрите рабов и отправляйтесь ко мне!'.
qstr_The_stranger_shouts_|Незнакомец кричит: 'Эй! Меня зовут Олвир, известный, как 'Беловолосый'. Я так понимаю вы разыскиваете моего брата, Свена 'Бычью Шею'. Меня это не волнует. Я пришел от имени Сигурда 'Змееглазого', чтобы обменять вашу мать на человека по имени Бодо'.
qstr_The_stranger_shouts__|Незнакомец кричит: 'Эй! Меня зовут Олвир, известный, как 'Беловолосый'. Я так понимаю вы разыскиваете моего брата Свена 'Бычью Шею'. Меня это не волнует. Я пришел от имени Сигурда 'Змееглазого', чтобы отдать вашу мать'.
qstr_Egil_yells__Heill_Ol|Эгиль кричит: 'Эй, Олвир 'Беловолосый'! Я слышал о твоей дружбе с Локи. Для начала, пусть {reg59?моя подруга получит свою:мой друг получит свою} мать, после чего мы продолжим этот разговор'.
qstr_Olvir_shouts:__Sure_|Олвир кричит: 'Конечно, Эгиль -- ублюдок Конунга, я слышал о тебе тоже и вижу, что ты теперь стал голосом своего господина, предатель Кеннемера. Можете поговорить с нашей заключенной. Я приведу ее к вам'.
qstr_Mission:_Speak_to_yo|Задание: Поговорить с матерью.
qstr_Suddenly_Olvir_shout|Неожиданно Олвир кричит: 'Воины! Стена щитов! Быстро! за Рагнара! за Сигурда! за Одина! Смерть врагам!'.
qstr_The_old_hero_is_too_|Старый герой оказался вам не по силам. Вы падаете в лужу крови, медленно теряя сознание...
qstr_The_old_hero_is_too_m|Старый герой оказался вам не по силам. Вы лежите побитый и раненый у его ног. Только милость старого вояки удерживает его от вашего убийства.
qstr_You_have_beaten_the_|Вы сразили Старого героя, так началось путешествие, сделавшее вас Легендой.
qstr_Beda_cries_out__Oh_m|Бодо кричит: 'Господи! Боже мой! Я слышал шум! Они преследуют меня! Люди Свена преследуют меня! Храни нас Бог!'.
qstr_Something_is_moving_|Что-то движется в кустах...
qstr_The_old_captain_is_t|Старый капитан оказался вам не по силам. Вы падаете в лужу крови, медленно теряя сознание...
qstr_The_old_captain_is_to|Старый капитан оказался вам не по силам. Вы лежите побежденный и раненый у его ног. Только милость старого вояки спасает вас от смерти.
qstr_You_have_beaten_the_o|Вы сразили старого капитана, так началось путешествие, сделавшее вас Легендой.
qstr_Today_is_a_good_day_|Сегодня замечательный день, чтобы умереть, не так ли?
qstr_The_battle_against_t|Битва с бандитами была не из легких, но вы одержали победу. В поисках бандитского схрона, вы заметили дыру между скалами. Удача вам улыбнулась - вы нашли клад.
qstr_You_have_killed_all_|Вы победили Викингов и освободили рабов. Это принесло вам славу и репутацию.
qstr_You_look_up_and_see_|Вы огляделись и увидели, что деревня уже захвачена Викингами, и теперь вы их новая добыча.
qstr_After_a_hard_battle_|В тяжелом бою вы одерживаете победу над викингами, устроившими засаду в деревне. Теперь их богатства принадлежат вам, но особенно радуют, найденные среди вещей, несколько частей от кольчуги.
qstr_If_you_want_to_cross|Хочешь перейти мост? Плати троллю!
qstr_The_troll_is_dead_at|Поверженный тролль лежит у ваших ног, так что вы можете забрать все сокровище себе, которое он вымогал у странников, а также и его берлогу.
qstr_Come_closer_closer_c|Подойди поближе, еще ближе, я здесь, совсем рядом. Как же долго я был один. Подойди и выиграй приз!
qstr_The_voice_continues_|Голос продолжает: 'Ох, какой я невежливый. Наконец кто-то пришел, чтобы увидеть меня, кто-то действительно хочет сыграть и получить награду'.
qstr_The_voice_seems_to_b|Голос становиться все ближе: 'Кто ты и почему здесь? Ты пришел ко мне в гости? Тот, кто вышел из народа, чтобы раз и навсегда пресечь их страхи'.
qstr_A_voice_is_coming_fr|Голос слышится откуда-то из руин: 'Кто-то посетил древние руины прошлого? Кто-то очень смелый, так как сюда никто никогда не заходит, из-за страха перед призраками'.
qstr_Do_you_want_to_stop_|Вы хотите закончить работу и получить плату?
qstr_Your_own_life_seems_|Ваша жизнь, похоже, не так уж и плоха, в сравнении с теми бедолагами рабочими, загоняющих себя в могилу ради куска хлеба.
qstr_The_rattle_of_spikes|Оглушительный хлопок от удара по камню. Посмотрев вниз вы видите, как народ трудиться под руководством бригадира.
qstr_Bodo_has_received_to|Бодо получил множество ударов и находится в полусознательном состоянии.
qstr_Bodo_spots_you_shake|Бодо смотрит на вас, качает головой, молча показывая, что есть еще враги.
qstr_Bandits_strike_at_yo|Бандиты здорово вас отделали, вы лежите в луже крови. Они считают, что вы мертвы...
qstr_The_bandits_and_slav|Вы разобрались с бандитами и работорговцами. Заберите пленных и уходите через вентиляционные шахты.^^Когда будете готовы покинуть место, нажмите 'TAB' для выхода.
qstr_You_can_t_leave_the_|Вы не можете покинуть пещеру, в ней еще остались враги!
qstr_You_have_just_killed|Вы только что убили главных телохранителей Короля Бандитов. Порывшись в его вещах вы находите сокровища. Но вам нужно расправиться с остальными бандитами, прежде чем забрать свое вознаграждение.
qstr_You_have_killed_the_c|Вы разобрались с капитаном, с этим уродливым, здоровым, горбатым и пахнущим, как крыса, засранцем. Пробираясь через останки вы находите несколько полезных вещей. Но вам нужно расправиться с остальными бандитами, прежде чем забрать свое вознаграждение.
qstr_Rising_victorious_ov|Вы стоите над телом Короля Бандитов, с оружия капает кровь... Вы положили конец насилию и ужасу, который наводили эти бандиты. Среди вещей, некогда гордого Короля Бандитов, вы видите:
qstr_The_body_of_Atli_Eir|Тело Атли Эйрикссона, левой руки Сигурда Рагнарссона, лежит у ваших ног. Вы роетесь в его одежде и находите в левом кармане оборванных брюк окровавленный пергамент со сломанной печатью. Это письмо Бодо.
qstr_The_Danish_and_Atli_|Датчане и Атли побеждены. Поговорите с Бодо о письме.
qstr_As_you_advance_you_f|Подойдя поближе, вы увидели свет внутри. Видимо, это место не так безлюдно, как вы думали раньше.
qstr_You_feel_the_tension|Вы начинаете нервничать все больше и больше с каждым сделанным шагом...
qstr_The_mouth_of_a_rock_|Перед вами открывается вход в пещеру, в которой кругом холодный камень и сырость. На стенах какие-то знаки и надписи на не понятном вам языке. Кто знает какие сюрпризы и сокровища скрыты здесь?
qstr_You_are_overwhelmed_|Вы поражены увиденным, словно перенеслись во времени. Тот, кто возвел это, давно в прошлом. Мы мелкие частицы в этом мире вечности, а наша жизнь настолько эфемерна... Но кто или что может быть вечным?
